TAXON_ORDER,CATEGORY,SPECIES_CODE,SCI_NAME,PRIMARY_COM_NAME,en_IOC,ORDER1,FAMILY,SPECIES_GROUP,REPORT_AS
3,species,ostric2,Struthio camelus,Common Ostrich,Common Ostrich,Struthioniformes,Struthionidae (Ostrich),Ostrich,
5,species,ostric3,Struthio molybdophanes,Somali Ostrich,Somali Ostrich,Struthioniformes,Struthionidae (Ostrich),,
7,species,grerhe1,Rhea americana,Greater Rhea,Greater Rhea,Rheiformes,Rheidae (Rheas),Rheas,
13,species,lesrhe2,Rhea pennata,Lesser Rhea,Lesser Rhea,Rheiformes,Rheidae (Rheas),,
14,issf,lesrhe4,Rhea pennata tarapacensis/garleppi,Lesser Rhea (Puna),Lesser Rhea (Puna),Rheiformes,Rheidae (Rheas),,lesrhe2
17,issf,lesrhe3,Rhea pennata pennata,Lesser Rhea (Darwin's),Lesser Rhea (Darwin's),Rheiformes,Rheidae (Rheas),,lesrhe2
32,species,tabtin1,Nothocercus julius,Tawny-breasted Tinamou,Tawny-breasted Tinamou,Tinamiformes,Tinamidae (Tinamous),Tinamous,
33,species,higtin1,Nothocercus bonapartei,Highland Tinamou,Highland Tinamou,Tinamiformes,Tinamidae (Tinamous),,
34,issf,higtin2,Nothocercus bonapartei [bonapartei Group],Highland Tinamou (South American),Highland Tinamou (South American),Tinamiformes,Tinamidae (Tinamous),,higtin1
39,issf,higtin3,Nothocercus bonapartei frantzii,Highland Tinamou (Costa Rican),Highland Tinamou (Costa Rican),Tinamiformes,Tinamidae (Tinamous),,higtin1
40,species,hootin1,Nothocercus nigrocapillus,Hooded Tinamou,Hooded Tinamou,Tinamiformes,Tinamidae (Tinamous),,
43,species,grytin1,Tinamus tao,Gray Tinamou,Grey Tinamou,Tinamiformes,Tinamidae (Tinamous),,
48,species,soltin1,Tinamus solitarius,Solitary Tinamou,Solitary Tinamou,Tinamiformes,Tinamidae (Tinamous),,
49,species,blatin1,Tinamus osgoodi,Black Tinamou,Black Tinamou,Tinamiformes,Tinamidae (Tinamous),,
52,species,gretin1,Tinamus major,Great Tinamou,Great Tinamou,Tinamiformes,Tinamidae (Tinamous),,
65,species,whttin1,Tinamus guttatus,White-throated Tinamou,White-throated Tinamou,Tinamiformes,Tinamidae (Tinamous),,
66,spuh,tinamu1,Tinamus sp.,Tinamus sp.,Tinamus sp.,Tinamiformes,Tinamidae (Tinamous),,
67,species,cintin1,Crypturellus cinereus,Cinereous Tinamou,Cinereous Tinamou,Tinamiformes,Tinamidae (Tinamous),,
68,species,bertin1,Crypturellus berlepschi,Berlepsch's Tinamou,Berlepsch's Tinamou,Tinamiformes,Tinamidae (Tinamous),,
69,species,littin1,Crypturellus soui,Little Tinamou,Little Tinamou,Tinamiformes,Tinamidae (Tinamous),,
84,species,teptin1,Crypturellus ptaritepui,Tepui Tinamou,Tepui Tinamou,Tinamiformes,Tinamidae (Tinamous),,
85,species,brotin1,Crypturellus obsoletus,Brown Tinamou,Brown Tinamou,Tinamiformes,Tinamidae (Tinamous),,
95,species,undtin1,Crypturellus undulatus,Undulated Tinamou,Undulated Tinamou,Tinamiformes,Tinamidae (Tinamous),,
102,species,pabtin1,Crypturellus transfasciatus,Pale-browed Tinamou,Pale-browed Tinamou,Tinamiformes,Tinamidae (Tinamous),,
103,species,bratin1,Crypturellus strigulosus,Brazilian Tinamou,Brazilian Tinamou,Tinamiformes,Tinamidae (Tinamous),,
104,species,gyltin1,Crypturellus duidae,Gray-legged Tinamou,Grey-legged Tinamou,Tinamiformes,Tinamidae (Tinamous),,
105,species,reltin1,Crypturellus erythropus,Red-legged Tinamou,Red-legged Tinamou,Tinamiformes,Tinamidae (Tinamous),,
113,species,yeltin1,Crypturellus noctivagus,Yellow-legged Tinamou,Yellow-legged Tinamou,Tinamiformes,Tinamidae (Tinamous),,
116,species,blctin1,Crypturellus atrocapillus,Black-capped Tinamou,Black-capped Tinamou,Tinamiformes,Tinamidae (Tinamous),,
119,species,slbtin1,Crypturellus boucardi,Slaty-breasted Tinamou,Slaty-breasted Tinamou,Tinamiformes,Tinamidae (Tinamous),,
122,species,chotin1,Crypturellus kerriae,Choco Tinamou,Choco Tinamou,Tinamiformes,Tinamidae (Tinamous),,
123,species,vartin1,Crypturellus variegatus,Variegated Tinamou,Variegated Tinamou,Tinamiformes,Tinamidae (Tinamous),,
124,species,thitin1,Crypturellus cinnamomeus,Thicket Tinamou,Thicket Tinamou,Tinamiformes,Tinamidae (Tinamous),,
124.2,issf,thitin2,Crypturellus cinnamomeus occidentalis,Thicket Tinamou (occidentalis),Thicket Tinamou (occidentalis),Tinamiformes,Tinamidae (Tinamous),,thitin1
124.4,issf,thitin3,Crypturellus cinnamomeus [cinnamomeus Group],Thicket Tinamou (cinnamomeus Group),Thicket Tinamou (cinnamomeus Group),Tinamiformes,Tinamidae (Tinamous),,thitin1
134,species,rustin1,Crypturellus brevirostris,Rusty Tinamou,Rusty Tinamou,Tinamiformes,Tinamidae (Tinamous),,
135,species,bartin2,Crypturellus bartletti,Bartlett's Tinamou,Bartlett's Tinamou,Tinamiformes,Tinamidae (Tinamous),,
136,species,smbtin1,Crypturellus parvirostris,Small-billed Tinamou,Small-billed Tinamou,Tinamiformes,Tinamidae (Tinamous),,
137,species,bartin1,Crypturellus casiquiare,Barred Tinamou,Barred Tinamou,Tinamiformes,Tinamidae (Tinamous),,
138,species,tattin1,Crypturellus tataupa,Tataupa Tinamou,Tataupa Tinamou,Tinamiformes,Tinamidae (Tinamous),,
143,spuh,cryptu1,Crypturellus sp.,Crypturellus sp.,Crypturellus sp.,Tinamiformes,Tinamidae (Tinamous),,
144,species,rewtin1,Rhynchotus rufescens,Red-winged Tinamou,Red-winged Tinamou,Tinamiformes,Tinamidae (Tinamous),,
148,species,huatin1,Rhynchotus maculicollis,Huayco Tinamou,Huayco Tinamou,Tinamiformes,Tinamidae (Tinamous),,
149,species,tactin1,Nothoprocta taczanowskii,Taczanowski's Tinamou,Taczanowski's Tinamou,Tinamiformes,Tinamidae (Tinamous),,
150,species,orntin1,Nothoprocta ornata,Ornate Tinamou,Ornate Tinamou,Tinamiformes,Tinamidae (Tinamous),,
154,species,chitin1,Nothoprocta perdicaria,Chilean Tinamou,Chilean Tinamou,Tinamiformes,Tinamidae (Tinamous),,
157,species,brutin1,Nothoprocta cinerascens,Brushland Tinamou,Brushland Tinamou,Tinamiformes,Tinamidae (Tinamous),,
160,species,andtin1,Nothoprocta pentlandii,Andean Tinamou,Andean Tinamou,Tinamiformes,Tinamidae (Tinamous),,
168,species,cubtin1,Nothoprocta curvirostris,Curve-billed Tinamou,Curve-billed Tinamou,Tinamiformes,Tinamidae (Tinamous),,
171,spuh,nothop1,Nothoprocta sp.,Nothoprocta sp.,Nothoprocta sp.,Tinamiformes,Tinamidae (Tinamous),,
172,species,whbnot1,Nothura boraquira,White-bellied Nothura,White-bellied Nothura,Tinamiformes,Tinamidae (Tinamous),,
173,species,lesnot1,Nothura minor,Lesser Nothura,Lesser Nothura,Tinamiformes,Tinamidae (Tinamous),,
174,species,darnot1,Nothura darwinii,Darwin's Nothura,Darwin's Nothura,Tinamiformes,Tinamidae (Tinamous),,
180,species,sponot1,Nothura maculosa,Spotted Nothura,Spotted Nothura,Tinamiformes,Tinamidae (Tinamous),,
189,species,chanot1,Nothura chacoensis,Chaco Nothura,Chaco Nothura,Tinamiformes,Tinamidae (Tinamous),,
190,species,dwatin1,Taoniscus nanus,Dwarf Tinamou,Dwarf Tinamou,Tinamiformes,Tinamidae (Tinamous),,
191,species,elctin1,Eudromia elegans,Elegant Crested-Tinamou,Elegant Crested Tinamou,Tinamiformes,Tinamidae (Tinamous),,
202,species,quctin1,Eudromia formosa,Quebracho Crested-Tinamou,Quebracho Crested Tinamou,Tinamiformes,Tinamidae (Tinamous),,
205,species,puntin1,Tinamotis pentlandii,Puna Tinamou,Puna Tinamou,Tinamiformes,Tinamidae (Tinamous),,
206,species,pattin1,Tinamotis ingoufi,Patagonian Tinamou,Patagonian Tinamou,Tinamiformes,Tinamidae (Tinamous),,
207,spuh,tinamo1,Tinamidae sp.,Tinamou sp.,Tinamou sp.,Tinamiformes,Tinamidae (Tinamous),,
207.05,species,soucas1,Casuarius casuarius,Southern Cassowary,Southern Cassowary,Casuariiformes,Casuariidae (Cassowaries),Cassowaries and Emu,
207.1,species,dwacas1,Casuarius bennetti,Dwarf Cassowary,Dwarf Cassowary,Casuariiformes,Casuariidae (Cassowaries),,
207.15,species,norcas1,Casuarius unappendiculatus,Northern Cassowary,Northern Cassowary,Casuariiformes,Casuariidae (Cassowaries),,
207.2,species,emu1,Dromaius novaehollandiae,Emu,Emu,Casuariiformes,Dromaiidae (Emu),,
207.45,species,sobkiw1,Apteryx australis,Southern Brown Kiwi,Southern Brown Kiwi,Apterygiformes,Apterygidae (Kiwis),Kiwis,
207.5,issf,sobkiw2,Apteryx australis australis,Southern Brown Kiwi (South Island),Southern Brown Kiwi (South Island),Apterygiformes,Apterygidae (Kiwis),,sobkiw1
207.55,issf,sobkiw3,Apteryx australis lawryi,Southern Brown Kiwi (Stewart Island),Southern Brown Kiwi (Stewart Island),Apterygiformes,Apterygidae (Kiwis),,sobkiw1
207.6,species,okbkiw1,Apteryx rowi,Okarito Brown Kiwi,Okarito Kiwi,Apterygiformes,Apterygidae (Kiwis),,
207.65,species,nibkiw1,Apteryx mantelli,North Island Brown Kiwi,North Island Brown Kiwi,Apterygiformes,Apterygidae (Kiwis),,
207.7,species,liskiw1,Apteryx owenii,Little Spotted Kiwi,Little Spotted Kiwi,Apterygiformes,Apterygidae (Kiwis),,
207.75,species,grskiw1,Apteryx haastii,Great Spotted Kiwi,Great Spotted Kiwi,Apterygiformes,Apterygidae (Kiwis),,
208,species,horscr1,Anhima cornuta,Horned Screamer,Horned Screamer,Anseriformes,Anhimidae (Screamers),Screamers,
209,species,souscr1,Chauna torquata,Southern Screamer,Southern Screamer,Anseriformes,Anhimidae (Screamers),,
210,species,norscr1,Chauna chavaria,Northern Screamer,Northern Screamer,Anseriformes,Anhimidae (Screamers),,
211,species,maggoo1,Anseranas semipalmata,Magpie Goose,Magpie Goose,Anseriformes,Anseranatidae (Magpie Goose),Waterfowl,
212,species,spwduc1,Dendrocygna guttata,Spotted Whistling-Duck,Spotted Whistling Duck,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
213,species,plwduc1,Dendrocygna eytoni,Plumed Whistling-Duck,Plumed Whistling Duck,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
214,species,wfwduc1,Dendrocygna viduata,White-faced Whistling-Duck,White-faced Whistling Duck,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
214.5,hybrid,x00721,Dendrocygna guttata x viduata,Spotted x White-faced Whistling-Duck (hybrid),Spotted x White-faced Whistling Duck (hybrid),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
215,species,bbwduc,Dendrocygna autumnalis,Black-bellied Whistling-Duck,Black-bellied Whistling Duck,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
215.3,issf,bkbwhd1,Dendrocygna autumnalis fulgens,Black-bellied Whistling-Duck (fulgens),Black-bellied Whistling Duck (Northern),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,bbwduc
215.6,issf,bkbwhd2,Dendrocygna autumnalis autumnalis,Black-bellied Whistling-Duck (autumnalis),Black-bellied Whistling Duck (Southern),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,bbwduc
216,species,wiwduc1,Dendrocygna arborea,West Indian Whistling-Duck,West Indian Whistling Duck,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
216.5,hybrid,x00775,Dendrocygna autumnalis x arborea,Black-bellied x West Indian Whistling-Duck (hybrid),Black-bellied x West Indian Whistling Duck (hybrid),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
217,species,fuwduc,Dendrocygna bicolor,Fulvous Whistling-Duck,Fulvous Whistling Duck,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
218,species,wawduc1,Dendrocygna arcuata,Wandering Whistling-Duck,Wandering Whistling Duck,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
222,species,lewduc1,Dendrocygna javanica,Lesser Whistling-Duck,Lesser Whistling Duck,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
223,spuh,whistl1,Dendrocygna sp.,whistling-duck sp.,whistling duck sp.,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
224,species,whbduc1,Thalassornis leuconotus,White-backed Duck,White-backed Duck,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
227,species,swagoo1,Anser cygnoides,Swan Goose,Swan Goose,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
227.3,domestic,swagoo2,Anser cygnoides (Domestic type),Swan Goose (Domestic type),Swan Goose (Domestic type),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
228,species,taibeg1,Anser fabalis,Taiga Bean-Goose,Taiga Bean Goose,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
232,species,tunbeg1,Anser serrirostris,Tundra Bean-Goose,Tundra Bean Goose,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
235,slash,y00468,Anser fabalis/serrirostris,Taiga/Tundra Bean-Goose,Taiga/Tundra Bean Goose,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
236,species,pifgoo,Anser brachyrhynchus,Pink-footed Goose,Pink-footed Goose,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
237,species,gwfgoo,Anser albifrons,Greater White-fronted Goose,Greater White-fronted Goose,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
238,issf,gwfgoo4,Anser albifrons albifrons,Greater White-fronted Goose (Eurasian),Greater White-fronted Goose (Eurasian),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,gwfgoo
239,issf,gwfgoo1,Anser albifrons flavirostris,Greater White-fronted Goose (Greenland),Greater White-fronted Goose (Greenland),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,gwfgoo
240,issf,gwfgoo2,Anser albifrons gambelli/frontalis,Greater White-fronted Goose (Western),Greater White-fronted Goose (Western),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,gwfgoo
243,issf,gwfgoo3,Anser albifrons elgasi,Greater White-fronted Goose (Tule),Greater White-fronted Goose (Tule),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,gwfgoo
247,species,lwfgoo,Anser erythropus,Lesser White-fronted Goose,Lesser White-fronted Goose,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
247.5,slash,y00707,Anser albifrons/erythropus,Greater/Lesser White-fronted Goose,Greater/Lesser White-fronted Goose,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
248,species,gragoo,Anser anser,Graylag Goose,Greylag Goose,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
249,issf,gragoo2,Anser anser anser,Graylag Goose (European),Greylag Goose (European),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,gragoo
250,issf,gragoo3,Anser anser rubrirostris,Graylag Goose (Siberian),Greylag Goose (Siberian),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,gragoo
251,domestic,gragoo1,Anser anser (Domestic type),Graylag Goose (Domestic type),Greylag Goose (Domestic type),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
251.5,hybrid,x00776,Anser cygnoides x anser (Domestic type) (hybrid),Swan x Graylag Goose (Domestic type) (hybrid),Swan x Greylag Goose (Domestic type) (hybrid),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
252,species,bahgoo,Anser indicus,Bar-headed Goose,Bar-headed Goose,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
252.5,hybrid,x00755,Anser albifrons x indicus,Greater White-fronted x Bar-headed Goose (hybrid),Greater White-fronted x Bar-headed Goose (hybrid),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
252.7,domestic,domgoo1,Anser sp. (Domestic type),Domestic goose sp. (Domestic type),Domestic goose sp. (Domestic type),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
252.9,spuh,anser1,Anser sp.,Anser sp.,Anser sp.,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
253,species,empgoo,Chen canagica,Emperor Goose,Emperor Goose,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
254,species,snogoo,Chen caerulescens,Snow Goose,Snow Goose,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
256.5,hybrid,x00627,Anser albifrons x Chen caerulescens,Greater White-fronted x Snow Goose (hybrid),Greater White-fronted x Snow Goose (hybrid),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
259,species,rosgoo,Chen rossii,Ross's Goose,Ross's Goose,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
